omsi,duration,date/seconds,date/nanoseconds,responses/0,responses/1,responses/2,responses/3,responses/4,responses/5,responses/6,responses/7,responses/8,responses/9,responses/10,responses/11,responses/12,responses/13,responses/14,responses/15,responses/16,responses/17,responses/18,responses/19
0.9634908472886613,534.361,1664152171,222000000,1,1,1,1,0,-1,0,-1,-1,2,0,2,2,1,-1,-1,2,-1,0,-1
0.3210392348493427,797.353,1664154024,922000000,1,1,0,2,-1,2,0,2,0,2,0,2,1,1,1,0,0,3,2,4
0.9496932607599797,673.489,1664159917,877000000,1,1,1,1,0,1,0,2,0,2,0,2,2,1,1,0,0,2,2,1
0.47726568640604866,1163.422,1664162878,951000000,0,1,1,1,-1,-1,0,1,0,0,0,-1,1,1,1,0,0,-1,3,3
0.2123195560488045,987.956,1664205969,6000000,0,1,1,2,1,0,0,2,0,0,0,1,1,0,1,0,2,0,2,-1
0.2230465403980427,147.82,1664313897,395000000,1,0,0,2,0,-1,0,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,4
0.1717891384757054,398.79,1664316669,444000000,1,1,2,-1,-1,-1,0,2,1,-1,0,1,1,1,0,0,-1,-1,-1,-1
0.19294292046792064,461.097,1664330745,998000000,0,2,0,0,0,1,0,2,0,2,0,2,0,2,1,0,0,-1,2,4
0.8113796797434347,669.522,1664363163,859000000,1,1,0,0,0,1,0,2,1,2,0,2,0,1,-1,1,0,0,2,-1
0.10011026595815758,7147.313,1664366332,746000000,0,1,0,2,0,1,0,2,0,2,0,2,2,1,2,-1,0,-1,2,-1
0.11846992378248142,701.593,1664368421,133000000,1,0,0,-1,0,-1,0,-1,0,-1,0,2,1,1,-1,-1,0,-1,0,-1
0.25086580092135224,319.6,1664403669,568000000,1,1,1,0,0,1,0,2,0,2,0,2,1,0,1,1,0,3,0,1
0.910111736746041,683.433,1664407944,646000000,1,1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,0,2,2,-1
0.7339975165215696,388.877,1664420211,567000000,1,0,1,0,0,0,0,2,1,2,0,2,1,0,1,0,2,2,0,-1
0.056199868583985166,476.482,1664440043,595000000,1,2,0,1,0,0,0,2,0,-1,0,2,0,1,0,0,0,3,2,3
0.16396739725325668,282.568,1664483913,500000000,0,2,1,1,0,2,2,2,1,1,1,1,1,0,0,0,1,1,-1,3
0.6280826233888499,441.108,1664497486,324000000,1,1,-1,2,0,2,0,1,0,2,0,1,2,1,1,2,0,3,-1,3
0.4747714427307027,372.094,1664501217,665000000,1,1,0,2,1,-1,0,-1,-1,2,0,0,2,1,1,1,0,1,2,-1
0.9908788826813977,485.828,1664506878,262000000,1,-1,1,2,0,1,0,0,0,2,0,-1,1,1,-1,0,2,1,2,1
0.04406601528978908,339.87,1664519087,337000000,1,0,0,0,-1,-1,0,2,0,2,0,-1,2,1,-1,1,0,2,2,-1
0.13575552830313442,378.932,1664522864,635000000,1,1,-1,1,1,2,0,1,1,-1,-1,1,1,1,1,0,2,-1,-1,-1
0.16110894957658525,1985.548,1664523887,697000000,1,2,0,0,1,1,2,0,1,2,1,2,0,2,0,1,2,0,0,3
0.22287329161311592,368.329,1664526697,754000000,0,2,1,2,0,-1,0,0,-1,-1,0,1,2,2,2,1,0,1,0,4
0.38319711080289093,221.324,1664529646,371000000,1,1,0,-1,-1,-1,0,-1,0,-1,0,-1,2,1,-1,-1,0,3,2,-1
0.16124414823887828,479.98,1664531792,146000000,0,2,0,2,0,1,0,2,0,2,0,2,2,1,1,0,2,3,0,4
0.919309351910052,433.891,1664553289,510000000,1,1,0,-1,0,2,0,2,1,2,0,-1,2,1,-1,1,0,1,0,-1
0.16165029410582907,455.504,1664560513,919000000,1,-1,-1,-1,-1,-1,0,1,-1,-1,0,-1,1,1,1,1,2,-1,2,-1
0.05442343559689114,513.499,1664677857,903000000,1,0,0,2,0,1,0,1,1,2,0,2,1,2,1,0,0,3,2,4
0.16097384251847413,310.715,1664746614,881000000,1,0,0,1,2,1,1,0,1,0,0,2,1,2,1,0,0,-1,-1,-1
0.21349259321304812,225.424,1664761551,914000000,0,0,1,0,-1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,0,-1,-1
0.09735194636553789,587.04,1664771566,455000000,0,2,-1,-1,-1,-1,0,2,-1,2,1,1,2,1,0,1,2,1,0,4
0.5282199779803677,631.346,1664813423,708000000,1,1,0,1,2,1,0,2,0,2,0,2,2,1,1,0,0,2,2,4
0.8533348589027351,882.247,1664826703,944000000,1,1,0,1,0,1,0,2,0,2,0,2,0,1,1,1,0,2,2,2
0.15976199694366902,732.137,1664912938,892000000,1,-1,-1,1,0,0,2,2,0,1,0,1,2,2,2,1,-1,2,2,4
0.9260815610058221,358.57,1664920556,160000000,0,2,0,-1,-1,1,0,1,1,2,0,2,2,1,-1,-1,0,1,2,-1
0.21840253609763444,332.019,1664963758,727000000,0,0,0,2,0,-1,0,-1,0,2,0,-1,0,1,-1,-1,0,-1,0,-1
0.20440287655466807,462.136,1665070230,799000000,1,2,1,1,1,1,2,2,-1,-1,2,0,1,0,0,1,0,1,4,2
0.5014999955000161,543.548,1665231412,172000000,1,1,0,0,1,1,0,1,1,2,0,2,2,1,2,1,0,1,2,4
0.9848277701512794,436064.719,1665941501,713000000,0,1,1,-1,-1,-1,0,-1,0,2,0,-1,1,1,1,-1,0,-1,0,-1
0.2615360795693641,769.32,1665989637,627000000,1,0,0,1,0,1,0,2,0,2,0,2,0,2,1,1,2,1,0,4
0.9751079571012559,395.166,1666026562,433000000,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1
